Date,Category,Vendor,Amount,Notes
2025-09-01,Training,TechTrain Inc,1460.24,Paid
2025-08-17,Meals,Restaurant Group,2330.72,Pending
2025-10-20,Software,TechTrain Inc,794.77,
2025-04-03,Training,Acme Corp,1878.11,
2025-08-08,Meals,TechTrain Inc,2353.84,
2025-01-01,Hardware,Acme Corp,636.07,Pending
2025-09-17,Hardware,Office Depot,1041.0,Paid
2025-07-02,Training,Office Depot,139.74,Reimbursable
2025-09-27,Supplies,Acme Corp,898.27,Pending
2025-03-10,Meals,Office Depot,765.53,
2025-06-09,Training,Office Depot,1987.88,
2025-10-20,Meals,TechTrain Inc,1347.76,Reimbursable
2025-12-04,Training,TechTrain Inc,947.15,Pending
2025-11-23,Supplies,Restaurant Group,937.8,Paid
2025-01-23,Training,TechTrain Inc,1680.51,Paid
2025-05-07,Training,Office Depot,1076.53,
2025-02-13,Training,Office Depot,980.38,
2025-03-18,Supplies,AWS,1657.02,
2025-09-01,Supplies,Restaurant Group,2010.75,
2025-06-10,Training,Restaurant Group,1314.09,Pending
2025-09-20,Travel,Restaurant Group,2147.03,Reimbursable
2025-03-07,Travel,TechTrain Inc,1400.66,Pending
2025-09-03,Hardware,Office Depot,690.22,Pending
2025-07-22,Supplies,Restaurant Group,291.0,Pending
2025-03-04,Hardware,AWS,2037.81,Reimbursable
2025-03-11,Supplies,TechTrain Inc,518.78,
2025-07-06,Training,TechTrain Inc,1136.8,
2025-09-03,Software,AWS,1281.4,Paid
2025-06-18,Meals,AWS,264.46,Paid
2025-12-17,Meals,Acme Corp,2244.94,
2025-09-23,Hardware,Acme Corp,738.71,
2025-07-22,Hardware,Acme Corp,1835.28,
2025-08-24,Supplies,AWS,2103.15,Paid
2025-08-19,Supplies,TechTrain Inc,1765.91,
2025-03-21,Software,Acme Corp,337.27,Paid
2025-01-28,Software,Office Depot,2167.61,Paid
2025-11-04,Hardware,Office Depot,1292.9,
2025-01-21,Supplies,Acme Corp,1994.09,
2025-07-04,Travel,AWS,1216.59,Pending
2025-09-15,Supplies,Office Depot,2300.55,Pending
2025-07-27,Travel,Restaurant Group,1868.11,Paid
2025-11-05,Meals,Office Depot,998.75,Reimbursable
2025-04-26,Supplies,TechTrain Inc,1555.67,Paid
2025-07-07,Hardware,Restaurant Group,786.75,
2025-03-26,Supplies,Restaurant Group,401.26,Reimbursable
2025-11-16,Training,AWS,563.49,Reimbursable
2025-01-09,Meals,Restaurant Group,1418.28,Paid
2025-08-24,Travel,TechTrain Inc,1805.85,Reimbursable
2025-01-13,Hardware,Acme Corp,2402.48,Pending
2025-12-06,Training,Restaurant Group,546.78,Paid
2025-02-03,Training,Restaurant Group,2331.02,Paid
2025-08-26,Hardware,Office Depot,342.49,Paid
2025-10-18,Travel,Office Depot,1561.28,Paid
2025-09-11,Meals,TechTrain Inc,362.37,Pending
2025-07-06,Meals,TechTrain Inc,677.71,Pending
2025-01-08,Travel,Office Depot,1693.34,Reimbursable
2025-10-20,Supplies,Restaurant Group,2464.1,Reimbursable
2025-11-07,Training,Acme Corp,2474.13,Pending
2025-10-09,Hardware,TechTrain Inc,322.18,
2025-08-22,Software,Office Depot,1750.25,Pending
2025-07-25,Training,AWS,466.16,Paid
2025-01-19,Supplies,Acme Corp,210.16,Reimbursable
2025-12-15,Software,TechTrain Inc,1057.65,Reimbursable
2025-01-19,Travel,TechTrain Inc,2344.17,Reimbursable
2025-02-18,Meals,Acme Corp,1542.54,Reimbursable
2025-01-26,Hardware,AWS,1799.7,Reimbursable
2025-07-07,Training,Restaurant Group,734.29,
2025-08-09,Software,AWS,1639.09,Paid
2025-08-17,Supplies,Office Depot,853.42,Reimbursable
2025-04-19,Meals,AWS,55.17,Reimbursable
2025-10-11,Supplies,TechTrain Inc,1106.6,Pending
2025-05-06,Hardware,Office Depot,2436.85,Paid
2025-06-27,Travel,Restaurant Group,1517.08,
2025-03-07,Supplies,Restaurant Group,1674.56,Pending
2025-08-12,Meals,TechTrain Inc,1120.14,Reimbursable
2025-03-03,Supplies,Office Depot,1553.39,Reimbursable
2025-01-02,Hardware,Restaurant Group,951.28,Reimbursable
2025-03-11,Meals,TechTrain Inc,2316.59,Pending
2025-10-18,Supplies,TechTrain Inc,1729.13,Paid
2025-01-07,Meals,TechTrain Inc,2200.59,Reimbursable
2025-10-06,Meals,Acme Corp,1139.54,Pending
2025-04-07,Meals,AWS,1838.68,Reimbursable
2025-04-01,Hardware,Office Depot,476.61,Reimbursable
2025-03-10,Supplies,Office Depot,2257.65,Paid
2025-09-05,Training,TechTrain Inc,1039.05,Pending
2025-06-09,Training,TechTrain Inc,1891.62,Pending
2025-07-11,Supplies,AWS,1127.21,Reimbursable
2025-12-16,Supplies,Restaurant Group,2213.22,Pending
2025-10-19,Travel,Acme Corp,2424.59,Paid
2025-03-22,Training,Acme Corp,1482.76,Paid
2025-11-27,Meals,Restaurant Group,561.97,Paid
2025-07-14,Meals,TechTrain Inc,274.23,Paid
2025-03-17,Hardware,Office Depot,2165.24,
2025-01-01,Meals,Office Depot,787.41,Pending
2025-11-24,Hardware,AWS,1846.44,Pending
2025-09-23,Supplies,TechTrain Inc,1921.6,Pending
2025-09-18,Supplies,AWS,53.67,
2025-11-20,Software,Acme Corp,1623.69,Paid
2025-05-05,Hardware,Office Depot,2044.89,
2025-01-20,Training,Restaurant Group,185.73,
2025-02-28,Meals,AWS,1144.47,Paid
2025-08-14,Software,AWS,349.62,Paid
2025-08-20,Training,Restaurant Group,45.59,Pending
2025-10-04,Training,Acme Corp,2380.41,Reimbursable
2025-06-20,Supplies,AWS,252.82,Reimbursable
2025-06-27,Hardware,AWS,2225.57,Reimbursable
2025-02-18,Travel,Office Depot,2325.23,Pending
2025-12-24,Training,AWS,193.42,Paid
2025-08-26,Hardware,Acme Corp,262.64,Reimbursable
2025-11-16,Hardware,Acme Corp,1356.43,Paid
2025-03-08,Training,TechTrain Inc,111.93,Reimbursable
2025-08-08,Supplies,TechTrain Inc,1555.58,Paid
2025-02-17,Hardware,Restaurant Group,1187.45,
2025-03-08,Hardware,AWS,1731.62,Paid
2025-08-03,Software,TechTrain Inc,2063.24,Pending
2025-03-23,Meals,AWS,2375.45,Pending
2025-06-26,Training,AWS,1373.21,
2025-05-26,Travel,Acme Corp,928.04,Pending
