Date,Category,Vendor,Amount,Notes
2025-05-28,Supplies,AWS,108.34,Reimbursable
2025-09-15,Hardware,Office Depot,1735.02,
2025-04-03,Supplies,Office Depot,387.53,
2025-02-22,Travel,Acme Corp,1302.57,
2025-05-10,Hardware,AWS,1854.86,
2025-09-23,Supplies,TechTrain Inc,279.01,
2025-06-26,Software,Restaurant Group,1882.25,Pending
2025-05-22,Meals,Office Depot,731.96,Reimbursable
2025-11-23,Hardware,Acme Corp,1093.18,Pending
2025-12-28,Hardware,Acme Corp,871.58,Pending
2025-10-10,Supplies,AWS,61.43,
2025-01-01,Hardware,Restaurant Group,969.09,Pending
2025-12-28,Hardware,Restaurant Group,788.22,
2025-09-14,Training,Acme Corp,1304.7,
2025-05-14,Hardware,Restaurant Group,1311.63,Reimbursable
2025-11-23,Meals,Office Depot,1395.47,Pending
2025-07-15,Travel,TechTrain Inc,2218.51,Reimbursable
2025-10-19,Software,Office Depot,1126.68,Paid
2025-06-16,Software,Acme Corp,1178.18,Reimbursable
2025-07-24,Supplies,TechTrain Inc,622.41,Paid
2025-11-26,Software,Restaurant Group,416.59,Pending
2025-04-07,Software,AWS,461.43,Reimbursable
2025-12-08,Supplies,Restaurant Group,2119.48,Pending
2025-11-02,Supplies,TechTrain Inc,435.57,
2025-10-14,Hardware,Acme Corp,311.34,
2025-12-12,Supplies,Office Depot,189.95,Pending
2025-08-17,Hardware,TechTrain Inc,713.95,
2025-11-24,Software,Office Depot,1802.06,Pending
2025-04-17,Hardware,Restaurant Group,2227.13,Pending
2025-06-25,Training,TechTrain Inc,1711.61,Reimbursable
2025-07-12,Meals,Acme Corp,1229.49,
2025-10-14,Training,TechTrain Inc,887.36,Reimbursable
2025-09-12,Supplies,Acme Corp,2214.76,Pending
2025-02-06,Hardware,TechTrain Inc,489.12,Paid
2025-02-26,Supplies,TechTrain Inc,452.02,Reimbursable
2025-04-24,Supplies,AWS,1426.33,Paid
2025-06-07,Travel,Office Depot,544.6,Pending
2025-10-24,Travel,Office Depot,214.81,Reimbursable
2025-03-26,Supplies,TechTrain Inc,1948.76,Reimbursable
2025-02-11,Meals,TechTrain Inc,999.98,Pending
2025-11-09,Training,AWS,850.42,Pending
2025-03-14,Supplies,TechTrain Inc,659.24,Reimbursable
2025-05-10,Travel,AWS,2175.85,Paid
2025-07-27,Meals,AWS,2305.53,Reimbursable
2025-03-23,Hardware,Acme Corp,2202.6,Paid
2025-01-28,Software,Acme Corp,2008.6,Reimbursable
2025-02-16,Hardware,AWS,2275.76,Reimbursable
2025-11-08,Supplies,AWS,2452.33,Pending
2025-03-01,Hardware,AWS,992.65,Reimbursable
2025-03-21,Supplies,Acme Corp,1998.18,Pending
2025-06-07,Meals,AWS,522.89,Paid
2025-03-03,Travel,Restaurant Group,315.7,
2025-01-01,Hardware,TechTrain Inc,993.99,Pending
2025-07-08,Supplies,Restaurant Group,1895.49,Reimbursable
2025-09-28,Hardware,Office Depot,94.2,
2025-04-26,Software,TechTrain Inc,243.0,Pending
2025-05-14,Training,Restaurant Group,2087.98,
2025-08-10,Hardware,Acme Corp,188.38,Pending
2025-04-05,Travel,AWS,485.38,Reimbursable
2025-07-20,Software,TechTrain Inc,542.46,Reimbursable
2025-10-08,Hardware,Restaurant Group,1291.26,Paid
2025-01-10,Supplies,Restaurant Group,1731.66,Reimbursable
2025-02-10,Software,AWS,427.97,Pending
2025-05-10,Training,Acme Corp,1069.9,Pending
2025-02-23,Hardware,AWS,2365.12,
2025-05-24,Travel,TechTrain Inc,1233.35,Reimbursable
2025-12-26,Software,Acme Corp,479.25,Reimbursable
2025-03-20,Software,AWS,2266.87,Paid
2025-11-04,Supplies,Acme Corp,1535.9,Reimbursable
2025-01-23,Supplies,Office Depot,1708.63,Paid
2025-11-04,Hardware,Office Depot,1180.03,Reimbursable
2025-11-25,Hardware,Acme Corp,1354.18,Pending
2025-09-26,Meals,TechTrain Inc,1696.04,Paid
2025-07-06,Hardware,Office Depot,819.08,Pending
2025-09-27,Software,TechTrain Inc,1924.72,
2025-05-17,Meals,Office Depot,2407.53,Paid
2025-06-06,Travel,TechTrain Inc,862.22,Reimbursable
2025-11-15,Travel,Restaurant Group,2118.75,Pending
2025-12-05,Training,Office Depot,2413.02,Reimbursable
2025-05-07,Software,Acme Corp,670.32,Paid
2025-10-04,Travel,Office Depot,2339.93,
2025-10-01,Training,Acme Corp,285.3,Paid
2025-03-01,Training,Restaurant Group,571.57,
2025-08-06,Supplies,Office Depot,1631.86,Reimbursable
2025-07-26,Hardware,AWS,540.87,Paid
2025-08-12,Software,AWS,835.47,Pending
2025-08-16,Supplies,TechTrain Inc,1377.95,Pending
2025-12-13,Hardware,TechTrain Inc,982.98,Paid
2025-08-03,Training,Restaurant Group,613.27,Reimbursable
2025-12-28,Hardware,Restaurant Group,1118.4,
2025-01-12,Meals,Acme Corp,1842.97,Paid
2025-06-01,Training,Restaurant Group,179.51,
2025-02-05,Training,AWS,761.67,
2025-08-02,Training,Office Depot,1675.28,Reimbursable
2025-07-12,Meals,AWS,2305.53,Reimbursable
2025-04-10,Travel,Acme Corp,1669.17,
2025-05-03,Supplies,Office Depot,1280.65,
2025-07-18,Meals,Acme Corp,2468.98,Pending
2025-01-13,Meals,Office Depot,208.58,
2025-07-21,Training,Restaurant Group,339.09,
