Date,Category,Vendor,Amount,Notes
2025-02-08,Meals,AWS,1640.75,Reimbursable
2025-12-11,Meals,Acme Corp,730.06,Pending
2025-01-02,Travel,Acme Corp,1928.18,Reimbursable
2025-12-09,Hardware,Acme Corp,2445.54,Paid
2025-10-02,Travel,Restaurant Group,80.51,Pending
2025-04-26,Software,Restaurant Group,2308.26,Reimbursable
2025-06-02,Hardware,Restaurant Group,689.11,Paid
2025-01-05,Hardware,TechTrain Inc,1715.67,Pending
2025-11-04,Supplies,Acme Corp,2055.16,Pending
2025-08-04,Supplies,AWS,88.45,Pending
2025-04-21,Meals,Office Depot,876.61,Paid
2025-12-06,Meals,Acme Corp,679.28,Pending
2025-03-01,Software,Office Depot,1884.21,Reimbursable
2025-05-04,Meals,Restaurant Group,2453.34,Reimbursable
2025-05-11,Hardware,Acme Corp,1013.38,Paid
2025-12-27,Travel,TechTrain Inc,2238.68,Paid
2025-01-22,Supplies,Restaurant Group,1324.95,Reimbursable
2025-01-26,Software,Office Depot,1799.65,
2025-08-20,Software,Restaurant Group,170.88,Pending
2025-10-05,Supplies,Office Depot,103.1,Reimbursable
2025-06-02,Travel,TechTrain Inc,1497.77,Pending
2025-09-04,Meals,TechTrain Inc,319.0,Pending
2025-04-08,Hardware,TechTrain Inc,1165.4,
2025-03-07,Travel,Acme Corp,1511.59,Pending
2025-06-21,Training,TechTrain Inc,1653.9,Paid
2025-03-12,Meals,AWS,989.76,Pending
2025-02-17,Meals,AWS,1744.05,Pending
2025-08-22,Meals,Office Depot,835.06,Reimbursable
2025-02-28,Training,AWS,783.72,Reimbursable
2025-12-22,Training,AWS,2003.59,Pending
2025-07-27,Travel,Office Depot,2365.54,Reimbursable
2025-03-04,Training,Restaurant Group,647.46,Reimbursable
2025-03-01,Software,AWS,1423.41,Paid
2025-05-24,Supplies,AWS,2113.63,Reimbursable
2025-09-01,Meals,TechTrain Inc,1911.09,Paid
2025-05-04,Travel,Office Depot,51.01,
2025-05-22,Training,Restaurant Group,1895.96,
2025-09-17,Training,Office Depot,868.93,Paid
2025-10-18,Hardware,Restaurant Group,550.64,Paid
2025-10-26,Software,Restaurant Group,154.92,Paid
2025-11-28,Meals,Restaurant Group,1193.09,
2025-05-15,Software,Acme Corp,1367.14,
2025-04-03,Travel,Acme Corp,2111.83,
2025-12-21,Meals,Restaurant Group,885.12,
2025-06-13,Supplies,Restaurant Group,976.72,Pending
2025-09-17,Travel,Office Depot,2188.04,Reimbursable
2025-01-04,Supplies,Restaurant Group,209.81,Pending
2025-08-01,Training,TechTrain Inc,2431.04,Paid
2025-10-27,Meals,Office Depot,2334.54,Paid
2025-07-22,Supplies,Office Depot,1013.91,Pending
2025-05-07,Travel,Acme Corp,755.5,
2025-09-28,Travel,Restaurant Group,1331.93,Reimbursable
2025-04-13,Supplies,Restaurant Group,1508.39,
2025-06-20,Training,Office Depot,1585.94,Reimbursable
2025-05-20,Travel,Acme Corp,123.89,Paid
2025-02-09,Training,Restaurant Group,2016.44,Pending
2025-11-07,Training,AWS,414.51,Reimbursable
2025-07-14,Travel,Acme Corp,2257.9,Pending
2025-01-18,Travel,Restaurant Group,1900.0,Reimbursable
2025-10-04,Supplies,Office Depot,2406.95,
2025-07-25,Travel,TechTrain Inc,514.54,Pending
2025-10-10,Software,TechTrain Inc,2261.4,Pending
2025-05-05,Meals,TechTrain Inc,1035.27,Pending
2025-03-04,Travel,Acme Corp,1662.82,Paid
2025-09-02,Meals,Office Depot,607.95,Paid
2025-06-18,Supplies,Office Depot,781.33,Paid
2025-02-11,Training,AWS,365.84,Paid
2025-03-21,Hardware,Restaurant Group,1894.97,Pending
2025-05-16,Hardware,Acme Corp,2096.96,Pending
2025-11-06,Training,TechTrain Inc,648.16,Reimbursable
2025-06-18,Training,Office Depot,867.2,Pending
2025-09-23,Meals,TechTrain Inc,630.49,Paid
2025-02-25,Software,Acme Corp,638.64,Pending
2025-06-21,Hardware,TechTrain Inc,971.37,Pending
2025-06-12,Supplies,TechTrain Inc,377.41,
2025-11-13,Training,Restaurant Group,2157.76,Pending
2025-10-09,Training,TechTrain Inc,749.21,
2025-07-05,Software,TechTrain Inc,1253.28,Paid
2025-10-28,Travel,Acme Corp,1068.6,Reimbursable
2025-05-23,Meals,Acme Corp,743.34,Pending
2025-06-08,Training,Restaurant Group,1077.71,Reimbursable
2025-02-10,Hardware,Office Depot,1872.38,Paid
2025-06-26,Hardware,Office Depot,2297.96,
2025-12-16,Training,Acme Corp,514.7,Paid
2025-01-17,Supplies,Office Depot,633.73,Pending
2025-05-19,Software,Office Depot,1329.29,Reimbursable
2025-04-01,Travel,TechTrain Inc,799.66,Pending
2025-04-23,Supplies,TechTrain Inc,1870.91,
2025-12-21,Software,Restaurant Group,1188.94,Paid
2025-03-02,Meals,Restaurant Group,2107.88,
2025-03-23,Software,Restaurant Group,1842.36,
2025-01-21,Supplies,Office Depot,1581.19,Pending
2025-03-23,Training,Office Depot,2417.2,Reimbursable
2025-01-08,Travel,TechTrain Inc,319.01,
2025-10-24,Software,Restaurant Group,1783.61,Pending
2025-10-26,Software,TechTrain Inc,164.88,Reimbursable
2025-03-25,Hardware,AWS,2411.0,
2025-05-04,Software,Acme Corp,332.85,
2025-01-12,Training,Acme Corp,1268.42,Reimbursable
2025-12-11,Travel,Acme Corp,1816.9,Pending
2025-04-22,Supplies,AWS,400.17,Reimbursable
2025-04-01,Travel,Office Depot,1081.8,
2025-09-02,Travel,Acme Corp,782.31,Pending
2025-08-23,Hardware,Office Depot,283.19,Reimbursable
2025-09-16,Travel,Office Depot,1222.35,Pending
2025-11-23,Travel,Office Depot,411.84,Paid
2025-04-17,Meals,Restaurant Group,2020.95,Paid
2025-07-02,Supplies,TechTrain Inc,1324.33,Reimbursable
2025-10-05,Supplies,TechTrain Inc,1803.04,Paid
2025-05-17,Supplies,Acme Corp,2020.54,Reimbursable
2025-02-19,Hardware,Office Depot,15.4,Reimbursable
2025-03-22,Supplies,AWS,633.4,Reimbursable
2025-01-06,Training,Office Depot,803.68,Paid
2025-07-07,Training,AWS,377.79,Reimbursable
2025-08-02,Travel,Acme Corp,572.09,
2025-06-11,Hardware,TechTrain Inc,476.18,
2025-02-19,Supplies,AWS,1968.23,Reimbursable
2025-04-23,Hardware,AWS,736.16,Paid
2025-04-01,Travel,TechTrain Inc,2495.24,Paid
2025-12-28,Supplies,Office Depot,363.68,Paid
2025-06-02,Software,TechTrain Inc,2348.84,
2025-03-10,Supplies,Office Depot,46.03,Reimbursable
2025-10-03,Software,AWS,1439.31,Paid
2025-12-10,Supplies,Restaurant Group,294.49,Pending
2025-07-09,Hardware,Restaurant Group,2172.99,Paid
2025-09-10,Software,Restaurant Group,439.56,
2025-11-23,Software,Office Depot,2447.21,Paid
2025-10-27,Software,Office Depot,2472.64,Reimbursable
2025-08-22,Training,TechTrain Inc,1297.86,Reimbursable
2025-12-25,Software,Restaurant Group,2474.42,Paid
2025-11-20,Travel,Acme Corp,838.9,Paid
2025-03-28,Hardware,AWS,586.78,Paid
2025-03-19,Meals,AWS,1396.13,Paid
2025-07-18,Hardware,Office Depot,795.72,Pending
2025-07-23,Supplies,Restaurant Group,1241.74,Paid
2025-09-08,Training,Acme Corp,729.21,Paid
2025-12-09,Meals,AWS,2236.78,
2025-07-20,Travel,Restaurant Group,2396.91,Reimbursable
2025-02-04,Software,Acme Corp,1256.08,Pending
2025-03-19,Software,Office Depot,1482.76,Paid
2025-09-01,Travel,TechTrain Inc,1919.36,Reimbursable
2025-07-25,Hardware,Restaurant Group,1316.77,Pending
2025-11-13,Travel,AWS,92.35,Pending
2025-02-18,Meals,TechTrain Inc,1314.18,Pending
2025-12-16,Training,Restaurant Group,1174.48,Pending
2025-11-01,Supplies,TechTrain Inc,2464.98,Reimbursable
2025-01-20,Training,TechTrain Inc,26.33,Pending
2025-07-07,Supplies,Acme Corp,2182.96,
2025-07-22,Supplies,AWS,180.38,Pending
2025-11-01,Travel,Acme Corp,872.72,Reimbursable
2025-07-18,Travel,Restaurant Group,14.57,
2025-12-25,Software,Restaurant Group,655.83,Reimbursable
2025-03-09,Supplies,Restaurant Group,583.89,Reimbursable
2025-05-22,Meals,Restaurant Group,124.76,Pending
2025-08-23,Hardware,Office Depot,2418.46,Reimbursable
2025-08-14,Supplies,Office Depot,1275.95,Reimbursable
2025-06-16,Travel,Acme Corp,1184.87,
2025-12-10,Hardware,TechTrain Inc,1332.2,Reimbursable
2025-02-08,Supplies,Restaurant Group,2034.2,
2025-08-01,Supplies,TechTrain Inc,1722.49,Paid
2025-08-04,Meals,TechTrain Inc,2137.55,Reimbursable
2025-08-14,Training,Restaurant Group,1052.26,Pending
2025-07-15,Supplies,Office Depot,928.73,Reimbursable
2025-03-15,Supplies,Restaurant Group,1490.46,Reimbursable
2025-07-13,Software,Restaurant Group,2481.35,Reimbursable
2025-02-20,Travel,Acme Corp,365.82,Paid
2025-04-04,Software,Acme Corp,1784.56,Paid
2025-07-01,Supplies,AWS,2461.44,Reimbursable
2025-03-10,Software,TechTrain Inc,1563.6,
2025-10-25,Travel,Office Depot,2114.38,
