Date,Category,Vendor,Amount,Notes
2025-04-01,Training,TechTrain Inc,867.45,
2025-06-13,Hardware,AWS,1790.2,
2025-07-16,Supplies,Acme Corp,1063.62,Pending
2025-10-28,Hardware,Restaurant Group,2374.39,Reimbursable
2025-08-07,Software,Restaurant Group,1116.27,Reimbursable
2025-06-06,Meals,Office Depot,1034.66,Paid
2025-08-17,Travel,Acme Corp,13.74,Paid
2025-01-16,Training,Restaurant Group,773.12,Paid
2025-06-19,Travel,Acme Corp,1863.1,
2025-11-01,Hardware,AWS,352.86,Paid
2025-09-24,Software,Acme Corp,1637.33,Paid
2025-02-26,Travel,Acme Corp,951.91,Pending
2025-03-16,Training,Acme Corp,1586.23,Paid
2025-08-15,Software,TechTrain Inc,881.42,Reimbursable
2025-05-23,Supplies,Acme Corp,452.42,
2025-05-13,Travel,AWS,1587.75,Pending
2025-12-13,Software,Restaurant Group,1594.47,Pending
2025-12-03,Travel,TechTrain Inc,373.38,
2025-11-17,Travel,TechTrain Inc,2011.04,Pending
2025-07-05,Supplies,Restaurant Group,74.67,Paid
2025-10-05,Supplies,Acme Corp,1932.41,
2025-08-27,Software,Restaurant Group,620.46,Pending
2025-05-20,Software,AWS,1913.26,
2025-07-18,Hardware,Restaurant Group,575.52,
2025-04-10,Travel,AWS,2204.07,Pending
2025-02-20,Travel,AWS,1066.35,Pending
2025-08-19,Training,TechTrain Inc,1540.79,
2025-02-06,Supplies,Restaurant Group,947.12,Reimbursable
2025-07-18,Software,Office Depot,772.64,
2025-10-19,Hardware,AWS,1566.64,Pending
2025-08-26,Software,Acme Corp,1573.25,
2025-09-24,Software,AWS,109.58,Paid
2025-02-23,Training,Office Depot,1693.59,Paid
2025-03-10,Meals,Office Depot,2123.38,Reimbursable
2025-02-26,Hardware,Acme Corp,816.77,Reimbursable
2025-08-19,Training,Office Depot,1336.18,Paid
2025-08-22,Software,Acme Corp,1631.79,Reimbursable
2025-05-15,Software,Office Depot,1675.71,Reimbursable
2025-12-04,Hardware,Restaurant Group,1551.87,Reimbursable
2025-02-06,Hardware,Office Depot,2010.42,
2025-01-17,Hardware,Office Depot,324.87,Paid
2025-09-27,Software,TechTrain Inc,2464.33,
2025-06-04,Hardware,Restaurant Group,1709.56,Paid
2025-08-06,Meals,Acme Corp,1023.17,
2025-01-23,Software,AWS,316.89,
2025-12-12,Training,Restaurant Group,351.47,
2025-06-28,Training,TechTrain Inc,1369.06,Pending
2025-10-02,Meals,Restaurant Group,1693.66,Paid
2025-10-13,Training,Office Depot,509.11,Reimbursable
2025-06-04,Software,Acme Corp,575.05,
2025-10-12,Meals,Acme Corp,1031.95,Paid
2025-07-23,Meals,Acme Corp,750.51,Pending
2025-02-05,Software,Office Depot,525.3,Paid
2025-12-07,Travel,Office Depot,2052.44,Paid
2025-10-02,Training,TechTrain Inc,116.62,Pending
2025-06-11,Training,TechTrain Inc,378.7,Pending
2025-01-11,Travel,Restaurant Group,1214.49,
2025-01-26,Hardware,Acme Corp,720.99,Pending
2025-07-10,Training,AWS,288.95,Reimbursable
2025-11-04,Hardware,Acme Corp,1520.75,
2025-12-26,Software,Restaurant Group,569.88,Paid
2025-01-01,Meals,Acme Corp,1853.71,Pending
2025-11-26,Software,AWS,692.65,
2025-12-17,Supplies,Acme Corp,322.55,Reimbursable
2025-03-14,Travel,TechTrain Inc,319.83,Paid
2025-10-10,Training,Office Depot,2087.6,Reimbursable
2025-03-25,Supplies,Acme Corp,2387.72,Paid
2025-06-10,Meals,Office Depot,2168.03,
2025-02-11,Hardware,Acme Corp,2317.4,Reimbursable
2025-01-16,Training,Acme Corp,789.26,
2025-06-13,Supplies,Restaurant Group,1473.79,Reimbursable
2025-10-10,Hardware,Acme Corp,1226.18,Pending
2025-04-17,Travel,Office Depot,63.94,Reimbursable
2025-10-27,Meals,Office Depot,2185.93,
2025-02-11,Supplies,TechTrain Inc,1206.17,Pending
2025-06-21,Training,TechTrain Inc,1923.6,
2025-12-14,Travel,Restaurant Group,1558.12,
2025-07-02,Hardware,TechTrain Inc,782.61,
2025-02-14,Training,Acme Corp,1241.41,Reimbursable
2025-03-27,Meals,TechTrain Inc,1336.72,Pending
2025-12-28,Meals,TechTrain Inc,1453.6,
2025-06-03,Training,Restaurant Group,670.06,Reimbursable
2025-12-15,Training,Office Depot,386.72,Paid
2025-10-10,Software,AWS,1661.99,Reimbursable
2025-05-28,Training,Office Depot,1246.31,
2025-02-06,Software,Acme Corp,1255.96,Pending
2025-09-27,Supplies,AWS,837.7,Paid
2025-06-14,Software,Acme Corp,1138.08,Pending
2025-11-19,Meals,Acme Corp,1002.98,Reimbursable
2025-03-20,Hardware,Office Depot,1958.53,
2025-11-09,Supplies,AWS,313.86,Pending
2025-04-02,Supplies,Acme Corp,539.51,Pending
2025-06-08,Travel,AWS,2369.8,
2025-09-15,Software,Office Depot,1301.52,
2025-06-11,Hardware,Restaurant Group,1427.43,Paid
2025-01-21,Supplies,Office Depot,2233.52,
2025-03-24,Supplies,Acme Corp,822.2,
2025-04-08,Supplies,AWS,2326.36,
2025-12-11,Training,Office Depot,1654.37,Paid
2025-12-08,Software,Office Depot,529.2,
2025-11-25,Software,Office Depot,2404.25,
2025-09-01,Software,TechTrain Inc,2207.13,Reimbursable
2025-01-20,Training,Office Depot,1221.12,Reimbursable
2025-01-25,Supplies,AWS,1053.56,
2025-06-23,Hardware,Office Depot,2157.61,Paid
2025-02-04,Training,Office Depot,673.38,Paid
2025-01-21,Training,AWS,1414.62,Paid
2025-03-18,Supplies,AWS,1857.37,Reimbursable
2025-09-15,Software,AWS,2097.45,
2025-01-18,Training,AWS,1664.62,Reimbursable
2025-08-16,Meals,AWS,1721.42,Reimbursable
2025-04-06,Hardware,AWS,931.5,Pending
2025-07-19,Travel,TechTrain Inc,1857.23,Paid
2025-09-07,Training,Office Depot,837.86,Pending
2025-01-08,Travel,TechTrain Inc,403.4,Reimbursable
2025-12-20,Supplies,TechTrain Inc,937.1,Reimbursable
2025-04-18,Training,TechTrain Inc,304.18,
2025-09-27,Hardware,Acme Corp,954.38,Paid
2025-06-19,Training,Acme Corp,1297.22,Reimbursable
2025-10-16,Hardware,Office Depot,850.9,Pending
2025-12-27,Training,TechTrain Inc,1516.68,Reimbursable
2025-09-22,Software,Office Depot,1464.33,Pending
2025-08-10,Training,Office Depot,585.41,Reimbursable
2025-07-04,Training,Acme Corp,1450.51,Paid
2025-03-12,Supplies,AWS,1184.48,Paid
2025-07-13,Supplies,Office Depot,448.95,Pending
2025-07-01,Meals,AWS,627.97,Reimbursable
2025-08-15,Software,Acme Corp,531.05,Pending
2025-07-10,Supplies,AWS,2411.54,Paid
2025-06-09,Travel,Office Depot,2248.76,Pending
2025-06-12,Hardware,Office Depot,2391.72,
2025-10-15,Supplies,AWS,2287.6,Pending
2025-01-26,Training,TechTrain Inc,2309.34,Reimbursable
2025-03-09,Software,AWS,840.98,Reimbursable
2025-11-10,Meals,Restaurant Group,700.1,Paid
2025-09-08,Software,Office Depot,2050.74,
2025-01-07,Training,TechTrain Inc,998.01,Paid
2025-11-04,Supplies,Restaurant Group,285.34,Reimbursable
2025-08-03,Training,Office Depot,2407.69,Reimbursable
2025-05-10,Travel,Acme Corp,1164.04,
2025-06-15,Hardware,TechTrain Inc,1958.73,Paid
2025-08-16,Hardware,Restaurant Group,1849.34,Pending
2025-06-17,Hardware,Restaurant Group,303.5,Reimbursable
2025-04-14,Meals,TechTrain Inc,220.25,Paid
2025-08-05,Hardware,Restaurant Group,1537.01,Pending
2025-12-15,Training,TechTrain Inc,1045.94,Reimbursable
2025-03-12,Travel,AWS,1306.19,
2025-09-17,Hardware,AWS,1652.43,
2025-05-11,Training,Acme Corp,383.3,Reimbursable
2025-11-10,Travel,Office Depot,303.39,Paid
