Date,Category,Vendor,Amount,Notes
2025-07-03,Travel,Office Depot,505.61,Paid
2025-10-16,Meals,Acme Corp,723.62,Paid
2025-07-27,Meals,Office Depot,2468.89,
2025-07-15,Software,AWS,1584.7,Pending
2025-08-27,Hardware,TechTrain Inc,1483.82,
2025-09-07,Training,Restaurant Group,2259.16,Reimbursable
2025-09-07,Travel,AWS,1020.69,Paid
2025-12-09,Hardware,Office Depot,2301.78,Pending
2025-06-25,Supplies,Restaurant Group,1343.01,Paid
2025-04-04,Supplies,Restaurant Group,1242.74,
2025-02-02,Software,Restaurant Group,2047.2,Reimbursable
2025-09-26,Travel,AWS,943.47,Pending
2025-01-02,Training,Office Depot,1543.52,
2025-12-11,Software,TechTrain Inc,1339.99,
2025-01-07,Meals,Acme Corp,736.91,Paid
2025-03-24,Hardware,Office Depot,198.86,Pending
2025-09-10,Supplies,Restaurant Group,2431.0,
2025-06-07,Travel,Restaurant Group,736.54,
2025-06-14,Travel,Office Depot,1083.16,
2025-05-23,Supplies,Acme Corp,1893.85,Pending
2025-08-24,Hardware,Office Depot,205.3,Pending
2025-06-11,Meals,Office Depot,1320.47,Reimbursable
2025-03-22,Training,Restaurant Group,371.94,Reimbursable
2025-10-19,Training,Restaurant Group,2460.92,Reimbursable
2025-06-09,Meals,Office Depot,710.49,
2025-07-19,Travel,Restaurant Group,1948.67,Reimbursable
2025-12-16,Training,Acme Corp,1035.05,Reimbursable
2025-02-13,Travel,Acme Corp,2156.39,Pending
2025-01-06,Training,Office Depot,1777.03,Pending
2025-01-13,Travel,Acme Corp,1591.09,Paid
2025-12-26,Training,Restaurant Group,371.58,Paid
2025-06-11,Hardware,AWS,213.42,Pending
2025-03-23,Supplies,Office Depot,643.58,Paid
2025-10-08,Training,TechTrain Inc,1775.83,Pending
2025-11-11,Meals,AWS,1845.81,Pending
2025-12-14,Software,Acme Corp,361.37,
2025-09-23,Hardware,Restaurant Group,2297.36,Pending
2025-12-13,Training,Acme Corp,1120.24,
2025-11-26,Training,AWS,418.88,Paid
2025-12-15,Hardware,Restaurant Group,1474.21,Reimbursable
2025-07-17,Travel,Restaurant Group,2435.4,Pending
2025-02-26,Software,TechTrain Inc,1518.52,Pending
2025-09-19,Hardware,Office Depot,981.25,Pending
2025-11-11,Meals,TechTrain Inc,1120.77,Pending
2025-05-03,Training,AWS,1669.03,Reimbursable
2025-02-20,Supplies,Office Depot,85.09,Paid
2025-04-24,Supplies,Office Depot,935.28,Paid
2025-03-27,Meals,Office Depot,1194.12,Reimbursable
2025-12-24,Meals,Office Depot,2497.78,Paid
2025-03-27,Supplies,AWS,2357.2,Paid
2025-08-20,Software,Acme Corp,665.5,
2025-08-13,Meals,Acme Corp,2162.24,Reimbursable
2025-05-26,Hardware,AWS,2179.34,Pending
2025-08-03,Meals,AWS,2210.81,Reimbursable
2025-08-14,Travel,Office Depot,1195.74,
2025-11-09,Training,TechTrain Inc,111.68,Pending
2025-09-21,Travel,AWS,1662.14,Reimbursable
2025-03-28,Travel,Restaurant Group,2409.03,Pending
2025-01-02,Training,TechTrain Inc,1798.97,
2025-03-10,Supplies,TechTrain Inc,1665.1,Paid
2025-08-25,Hardware,TechTrain Inc,1690.5,Reimbursable
2025-05-01,Training,Acme Corp,1096.16,
2025-01-14,Hardware,TechTrain Inc,624.63,Reimbursable
2025-04-11,Travel,TechTrain Inc,601.37,Paid
2025-02-21,Hardware,Acme Corp,595.84,
2025-10-25,Hardware,AWS,2231.76,Paid
2025-09-02,Meals,TechTrain Inc,2175.33,Paid
2025-04-18,Travel,Acme Corp,559.58,Reimbursable
2025-11-13,Software,Office Depot,2160.86,Paid
2025-07-13,Meals,TechTrain Inc,1099.11,Reimbursable
2025-03-17,Software,Acme Corp,2346.45,
2025-04-02,Hardware,TechTrain Inc,1420.21,Paid
2025-01-01,Software,Office Depot,2199.16,Paid
2025-01-06,Supplies,Restaurant Group,1571.05,Paid
2025-08-14,Training,Office Depot,1247.78,Reimbursable
2025-04-14,Training,Office Depot,358.54,Paid
2025-09-08,Supplies,TechTrain Inc,399.33,Paid
2025-03-18,Software,Office Depot,461.53,Paid
2025-07-20,Hardware,Restaurant Group,1352.34,Paid
