Date,Category,Vendor,Amount,Notes
2025-10-17,Training,Office Depot,1928.04,Pending
2025-11-21,Supplies,Office Depot,438.1,Pending
2025-05-07,Software,Office Depot,2224.86,
2025-10-07,Software,Acme Corp,337.54,Paid
2025-08-10,Meals,Restaurant Group,2372.14,Paid
2025-03-08,Hardware,AWS,2310.63,Reimbursable
2025-09-27,Software,AWS,1785.1,Pending
2025-06-20,Hardware,Restaurant Group,1869.09,Paid
2025-12-11,Hardware,Restaurant Group,977.06,Pending
2025-07-25,Travel,AWS,538.56,Reimbursable
2025-02-07,Meals,Restaurant Group,180.22,
2025-05-16,Training,Restaurant Group,690.36,Reimbursable
2025-10-05,Meals,Acme Corp,1777.29,Reimbursable
2025-05-26,Supplies,TechTrain Inc,46.5,Pending
2025-08-04,Meals,Office Depot,2254.15,Paid
2025-02-28,Hardware,TechTrain Inc,2494.88,Paid
2025-11-14,Software,Restaurant Group,1047.91,Reimbursable
2025-06-08,Software,Acme Corp,1221.73,Pending
2025-10-16,Meals,Restaurant Group,893.27,Paid
2025-03-10,Training,TechTrain Inc,693.29,Pending
2025-07-21,Hardware,Acme Corp,1930.11,
2025-03-19,Hardware,TechTrain Inc,1479.45,Paid
2025-09-03,Travel,Office Depot,357.37,Reimbursable
2025-10-13,Training,Office Depot,1644.26,Reimbursable
2025-08-19,Supplies,TechTrain Inc,1074.72,Pending
2025-03-27,Supplies,Restaurant Group,657.05,Pending
2025-12-01,Hardware,Acme Corp,1141.23,Paid
2025-11-19,Travel,Restaurant Group,2206.43,Pending
2025-03-27,Meals,TechTrain Inc,196.81,Paid
2025-11-08,Software,Acme Corp,1785.26,Reimbursable
2025-07-18,Training,Office Depot,1944.36,Paid
2025-08-09,Software,AWS,654.82,Pending
2025-06-02,Meals,Acme Corp,1468.29,Paid
2025-08-15,Software,Acme Corp,1550.41,
2025-08-25,Training,Acme Corp,2158.31,Reimbursable
2025-06-09,Meals,TechTrain Inc,1636.51,
2025-12-02,Hardware,Restaurant Group,298.04,Paid
2025-03-17,Software,Office Depot,1361.75,Pending
2025-04-01,Meals,Office Depot,2450.22,Reimbursable
2025-02-11,Training,Office Depot,154.61,Pending
2025-07-01,Travel,TechTrain Inc,66.74,
2025-03-22,Supplies,Restaurant Group,1481.52,Reimbursable
2025-09-20,Travel,Restaurant Group,1330.38,Paid
2025-06-20,Meals,Office Depot,2231.91,Reimbursable
2025-11-13,Training,TechTrain Inc,458.63,Paid
2025-07-26,Hardware,Restaurant Group,1982.09,Paid
2025-02-07,Supplies,Acme Corp,1431.54,Reimbursable
2025-10-23,Hardware,Office Depot,769.05,
2025-07-18,Software,Restaurant Group,914.5,Reimbursable
2025-02-07,Meals,Office Depot,2043.94,Pending
2025-01-05,Meals,AWS,657.96,
2025-07-01,Software,TechTrain Inc,431.05,Pending
2025-05-28,Software,Office Depot,2336.2,
2025-04-12,Supplies,Restaurant Group,2284.81,
2025-03-26,Meals,Office Depot,620.01,Reimbursable
