Date,Category,Vendor,Amount,Notes
2025-12-26,Meals,Office Depot,234.56,
2025-09-13,Meals,Office Depot,868.27,Pending
2025-11-21,Hardware,TechTrain Inc,2377.26,Paid
2025-10-12,Meals,Restaurant Group,2227.61,Reimbursable
2025-02-26,Training,AWS,1092.33,
2025-09-21,Hardware,Restaurant Group,1295.25,Reimbursable
2025-07-20,Supplies,TechTrain Inc,282.18,Reimbursable
2025-01-25,Travel,Acme Corp,1838.17,
2025-04-12,Travel,Acme Corp,777.62,Reimbursable
2025-05-10,Travel,TechTrain Inc,1780.94,Reimbursable
2025-08-05,Software,AWS,1877.73,Paid
2025-03-22,Travel,Restaurant Group,1167.97,Paid
2025-04-18,Software,AWS,1317.08,
2025-10-11,Software,AWS,1920.31,Paid
2025-05-27,Supplies,Acme Corp,382.93,Pending
2025-09-19,Travel,TechTrain Inc,381.02,
2025-09-01,Travel,AWS,798.18,Paid
2025-12-15,Meals,Acme Corp,806.55,Pending
2025-10-26,Supplies,Acme Corp,1061.12,Paid
2025-12-20,Software,Restaurant Group,2284.86,Pending
2025-07-22,Travel,Acme Corp,1540.54,Pending
2025-03-11,Software,Restaurant Group,196.48,Pending
2025-06-20,Training,Office Depot,1206.64,Paid
2025-09-27,Hardware,AWS,2120.05,Reimbursable
2025-09-20,Training,Acme Corp,315.0,Pending
2025-11-01,Supplies,AWS,915.71,Reimbursable
2025-11-16,Travel,Office Depot,522.75,
2025-04-23,Supplies,TechTrain Inc,1503.28,Pending
2025-12-15,Software,AWS,164.13,Reimbursable
2025-10-02,Software,Office Depot,263.97,Reimbursable
2025-12-14,Supplies,Acme Corp,2232.75,Paid
2025-07-22,Supplies,AWS,1450.8,
2025-08-19,Meals,Restaurant Group,2237.25,Reimbursable
2025-04-26,Supplies,TechTrain Inc,735.73,Paid
2025-02-23,Supplies,AWS,2317.06,
2025-11-08,Travel,AWS,2410.24,Paid
2025-03-08,Software,Restaurant Group,575.64,
2025-09-26,Travel,Restaurant Group,2445.15,
2025-04-04,Software,Acme Corp,733.53,Pending
2025-05-18,Training,Office Depot,877.13,Pending
2025-12-16,Supplies,TechTrain Inc,2430.83,Paid
2025-12-20,Hardware,Acme Corp,934.39,Pending
2025-06-13,Training,Office Depot,765.8,Reimbursable
2025-03-27,Hardware,Restaurant Group,1036.69,Reimbursable
2025-09-23,Hardware,Office Depot,1755.23,Paid
