Date,Category,Vendor,Amount,Notes
2025-01-11,Meals,Restaurant Group,811.27,Reimbursable
2025-09-09,Meals,Office Depot,1970.41,
2025-02-21,Software,Acme Corp,1411.86,Pending
2025-04-13,Hardware,AWS,708.68,Pending
2025-04-12,Supplies,Office Depot,2323.36,Paid
2025-04-12,Hardware,AWS,1431.93,
2025-05-07,Supplies,Restaurant Group,271.47,Paid
2025-09-10,Software,Office Depot,1586.8,Paid
2025-12-07,Hardware,TechTrain Inc,2309.96,Paid
2025-08-14,Training,AWS,1449.13,Paid
2025-02-26,Supplies,TechTrain Inc,834.11,
2025-04-27,Training,AWS,587.71,Pending
2025-09-11,Hardware,Office Depot,2009.28,
2025-07-27,Supplies,Office Depot,1909.87,
2025-01-21,Supplies,Office Depot,1402.5,Paid
2025-03-16,Software,Restaurant Group,2420.19,Paid
2025-12-26,Supplies,AWS,142.84,Reimbursable
2025-04-23,Software,Acme Corp,2404.1,Pending
2025-03-26,Hardware,TechTrain Inc,320.8,
2025-09-09,Meals,Restaurant Group,1548.69,Pending
2025-08-10,Supplies,Office Depot,539.43,Paid
2025-01-04,Hardware,AWS,1750.88,Reimbursable
2025-10-01,Travel,Office Depot,1288.59,
2025-10-18,Meals,AWS,2224.08,
2025-03-23,Software,Office Depot,124.38,Reimbursable
2025-08-17,Software,Acme Corp,1650.67,Pending
2025-12-09,Hardware,TechTrain Inc,1806.27,Pending
2025-12-15,Hardware,Acme Corp,872.49,Paid
2025-02-28,Hardware,Acme Corp,1269.08,Pending
2025-04-20,Supplies,AWS,16.15,Paid
2025-08-07,Software,AWS,179.79,Paid
2025-04-26,Software,AWS,964.94,Paid
2025-02-15,Supplies,AWS,863.21,Paid
2025-05-15,Software,Acme Corp,1357.21,Reimbursable
2025-09-18,Training,AWS,1044.38,Paid
2025-09-07,Training,AWS,475.12,Paid
2025-06-11,Hardware,Office Depot,2387.21,Paid
2025-01-16,Hardware,TechTrain Inc,2319.22,Pending
2025-11-24,Supplies,AWS,2153.9,Reimbursable
2025-05-28,Meals,AWS,924.99,Paid
2025-04-21,Software,Office Depot,545.37,
2025-10-12,Training,TechTrain Inc,1360.94,
2025-07-14,Software,AWS,951.04,Pending
2025-07-22,Meals,Office Depot,791.81,Pending
2025-12-21,Travel,AWS,128.49,Pending
2025-10-17,Meals,Restaurant Group,989.76,Pending
2025-03-14,Supplies,Office Depot,1093.2,Paid
2025-11-02,Supplies,Restaurant Group,240.81,Reimbursable
2025-06-11,Training,AWS,1038.0,Pending
2025-03-09,Travel,Acme Corp,383.27,Paid
2025-09-06,Software,Restaurant Group,2334.53,Pending
2025-08-06,Travel,Acme Corp,1164.29,Pending
2025-01-08,Travel,AWS,1191.61,Paid
2025-10-01,Software,Office Depot,90.19,Pending
2025-07-11,Meals,Office Depot,1849.58,Reimbursable
2025-11-16,Travel,AWS,980.42,Paid
2025-10-23,Meals,AWS,2265.96,
2025-12-26,Travel,Restaurant Group,1327.77,
2025-03-23,Software,Acme Corp,586.58,Reimbursable
2025-04-26,Supplies,Acme Corp,1356.78,Pending
2025-10-08,Meals,AWS,2084.6,Paid
2025-04-17,Software,AWS,1168.97,Paid
2025-02-09,Supplies,Office Depot,1054.08,Reimbursable
2025-05-24,Supplies,Restaurant Group,1204.53,Reimbursable
2025-09-28,Meals,Restaurant Group,114.45,Reimbursable
2025-12-14,Software,AWS,236.44,Reimbursable
2025-12-08,Travel,Office Depot,1149.95,
2025-09-22,Hardware,AWS,2181.58,Paid
2025-11-17,Hardware,AWS,1110.01,Paid
2025-07-12,Travel,TechTrain Inc,1912.46,Paid
2025-02-12,Training,Restaurant Group,645.11,Pending
2025-09-22,Software,AWS,1823.65,Paid
2025-02-11,Hardware,Acme Corp,988.13,Reimbursable
2025-06-11,Supplies,Acme Corp,273.71,Pending
2025-07-23,Travel,AWS,109.5,Pending
2025-09-28,Meals,Restaurant Group,1920.61,
2025-10-24,Supplies,AWS,557.92,Pending
2025-07-18,Software,TechTrain Inc,1858.1,Paid
2025-07-16,Training,TechTrain Inc,1085.97,Paid
2025-05-26,Supplies,Acme Corp,222.54,Paid
2025-11-04,Software,Acme Corp,262.67,Paid
2025-06-15,Supplies,Acme Corp,147.94,Paid
2025-12-17,Training,TechTrain Inc,1936.82,
2025-09-19,Meals,Restaurant Group,2402.54,Pending
2025-05-25,Travel,Acme Corp,86.15,
2025-04-02,Hardware,Restaurant Group,414.63,Pending
2025-02-21,Hardware,TechTrain Inc,1154.17,Reimbursable
2025-02-28,Software,Office Depot,129.25,Paid
2025-10-06,Travel,Office Depot,264.95,Reimbursable
2025-01-20,Supplies,Acme Corp,2095.08,Reimbursable
2025-10-25,Travel,Restaurant Group,674.57,Paid
2025-07-04,Software,Restaurant Group,738.12,
2025-04-11,Hardware,TechTrain Inc,71.13,Paid
2025-02-25,Hardware,TechTrain Inc,677.99,Pending
2025-11-01,Supplies,Office Depot,398.12,Reimbursable
2025-07-07,Meals,Restaurant Group,496.78,Pending
2025-02-24,Software,AWS,960.14,Paid
2025-02-05,Software,TechTrain Inc,2128.0,Reimbursable
2025-06-27,Training,TechTrain Inc,1362.58,
2025-01-06,Software,AWS,2174.45,Paid
2025-09-03,Travel,AWS,1693.65,Pending
2025-12-04,Meals,TechTrain Inc,527.17,Reimbursable
2025-09-17,Travel,AWS,1707.13,Pending
2025-08-02,Travel,Restaurant Group,731.08,Pending
2025-07-27,Meals,AWS,1126.61,Pending
2025-12-08,Meals,Acme Corp,1957.81,Reimbursable
2025-02-24,Meals,TechTrain Inc,2010.06,
2025-02-26,Hardware,Office Depot,1298.92,Reimbursable
2025-10-08,Travel,TechTrain Inc,1696.1,Paid
2025-05-04,Meals,TechTrain Inc,827.93,Reimbursable
2025-05-08,Hardware,Office Depot,2448.23,
2025-10-17,Meals,TechTrain Inc,2252.14,Paid
2025-08-01,Meals,Acme Corp,1617.44,
2025-12-22,Software,Office Depot,1755.89,Paid
2025-04-26,Hardware,Office Depot,1987.88,Paid
2025-11-27,Travel,Restaurant Group,1441.67,Paid
2025-01-23,Travel,TechTrain Inc,2256.39,Paid
2025-05-20,Training,AWS,1820.85,Pending
2025-07-04,Training,Restaurant Group,350.58,Reimbursable
2025-02-03,Meals,TechTrain Inc,1655.62,Paid
2025-12-27,Software,AWS,616.72,
2025-12-19,Travel,TechTrain Inc,2021.73,
2025-04-28,Hardware,Acme Corp,204.11,Paid
2025-12-18,Meals,Office Depot,2382.41,
2025-01-21,Hardware,Acme Corp,732.98,Reimbursable
2025-06-24,Meals,Restaurant Group,2322.81,Reimbursable
2025-11-10,Supplies,Restaurant Group,220.2,
2025-02-16,Travel,TechTrain Inc,2206.69,Pending
2025-01-26,Supplies,AWS,1457.53,Pending
2025-09-06,Supplies,Office Depot,1077.73,Reimbursable
2025-06-20,Travel,Office Depot,853.08,Paid
2025-08-26,Meals,AWS,2066.9,Pending
2025-09-16,Supplies,Office Depot,2146.32,Pending
2025-05-27,Travel,Restaurant Group,1850.56,
2025-06-15,Hardware,Restaurant Group,1794.9,Reimbursable
2025-05-24,Hardware,Restaurant Group,1545.74,Pending
2025-11-16,Meals,Restaurant Group,675.29,
2025-09-21,Meals,AWS,891.64,Reimbursable
2025-05-09,Training,Acme Corp,2167.39,Reimbursable
2025-01-26,Meals,AWS,1924.47,Paid
2025-06-27,Hardware,TechTrain Inc,1898.22,Paid
